phase,preprocess,model,run_id,experiment,auroc,f1,accuracy,precision,recall
phase3,enhanced,patchcore,lr1e-4_img256_k5_cs005,exp1,0.6563883410037257,0.38188976377952755,0.4967948717948718,0.8220338983050848,0.24871794871794872
phase3,enhanced,patchcore,lr1e-4_img256_k5_cs005,exp2,0.6268632433275863,0.39584348108459166,0.5816594213761055,0.29338146811071,0.6082834331337326
phase3,enhanced,patchcore,lr1e-3_img224_k9_cs01,exp1,0.6631054131054132,0.39147286821705424,0.4967948717948718,0.8015873015873016,0.258974358974359
phase3,enhanced,patchcore,lr1e-3_img224_k9_cs01,exp2,0.618836638191625,0.3859982134881644,0.5878429021136261,0.29050420168067226,0.575016633399867
phase3,enhanced,patchcore,lr1e-3_img256_k5_cs005,exp1,0.6563883410037257,0.38188976377952755,0.4967948717948718,0.8220338983050848,0.24871794871794872
phase3,enhanced,patchcore,lr1e-3_img256_k5_cs005,exp2,0.6268632433275863,0.39584348108459166,0.5816594213761055,0.29338146811071,0.6082834331337326
phase3,enhanced,patchcore,lr1e-3_img224_k5_cs005,exp1,0.6567718606180145,0.37401574803149606,0.49038461538461536,0.8050847457627118,0.24358974358974358
phase3,enhanced,patchcore,lr1e-3_img224_k5_cs005,exp2,0.6152642269318432,0.38107024988213106,0.6064308199670214,0.2950894487039065,0.5377578176979375
phase3,enhanced,patchcore,lr1e-4_img224_k5_cs005,exp1,0.6567718606180145,0.37401574803149606,0.49038461538461536,0.8050847457627118,0.24358974358974358
phase3,enhanced,patchcore,lr1e-4_img224_k5_cs005,exp2,0.6152642269318432,0.38107024988213106,0.6064308199670214,0.2950894487039065,0.5377578176979375
phase3,enhanced,patchcore,lr1e-3_img256_k5_cs01,exp1,0.6884724961648039,0.48028673835125446,0.5352564102564102,0.7976190476190477,0.3435897435897436
phase3,enhanced,patchcore,lr1e-3_img256_k5_cs01,exp2,0.6368267077815474,0.40885182201582715,0.5324913806026083,0.28586574779670004,0.717564870259481
phase3,enhanced,patchcore,lr1e-3_img224_k9_cs005,exp1,0.5820512820512821,0.23427331887201736,0.4342948717948718,0.7605633802816901,0.13846153846153847
phase3,enhanced,patchcore,lr1e-3_img224_k9_cs005,exp2,0.6043641480583724,0.32313282196205084,0.6858417028931195,0.3139808567393692,0.3328343313373254
phase3,enhanced,patchcore,lr1e-3_img224_k5_cs01,exp1,0.6831908831908832,0.43018867924528303,0.5160256410256411,0.8142857142857143,0.2923076923076923
phase3,enhanced,patchcore,lr1e-3_img224_k5_cs01,exp2,0.6243361043006865,0.39888883173002726,0.5620971368610403,0.28874655544797795,0.6448769128409847
phase3,enhanced,patchcore,lr1e-4_img256_k9_cs005,exp1,0.6299035722112645,0.3146997929606625,0.46955128205128205,0.8172043010752689,0.19487179487179487
phase3,enhanced,patchcore,lr1e-4_img256_k9_cs005,exp2,0.6178049441622431,0.3835975682441292,0.6124269225003748,0.2989039569013561,0.5352628077178976
phase3,enhanced,patchcore,lr1e-4_img256_k9_cs01,exp1,0.6649134341442033,0.4153846153846154,0.5128205128205128,0.8307692307692308,0.27692307692307694
phase3,enhanced,patchcore,lr1e-4_img256_k9_cs01,exp2,0.6294089814759026,0.4002453611409293,0.5602983061010344,0.288908567633385,0.6511976047904192
phase3,enhanced,patchcore,lr1e-4_img256_k5_cs01,exp1,0.6884724961648039,0.48028673835125446,0.5352564102564102,0.7976190476190477,0.3435897435897436
phase3,enhanced,patchcore,lr1e-4_img256_k5_cs01,exp2,0.6368267077815474,0.40885182201582715,0.5324913806026083,0.28586574779670004,0.717564870259481
phase3,enhanced,patchcore,lr1e-4_img224_k9_cs005,exp1,0.5820512820512821,0.23427331887201736,0.4342948717948718,0.7605633802816901,0.13846153846153847
phase3,enhanced,patchcore,lr1e-4_img224_k9_cs005,exp2,0.6043641480583724,0.32313282196205084,0.6858417028931195,0.3139808567393692,0.3328343313373254
phase3,enhanced,patchcore,lr1e-3_img256_k9_cs01,exp1,0.6649134341442033,0.4153846153846154,0.5128205128205128,0.8307692307692308,0.27692307692307694
phase3,enhanced,patchcore,lr1e-3_img256_k9_cs01,exp2,0.6294089814759026,0.4002453611409293,0.5602983061010344,0.288908567633385,0.6511976047904192
phase3,enhanced,patchcore,lr1e-4_img224_k9_cs01,exp1,0.6631054131054132,0.39147286821705424,0.4967948717948718,0.8015873015873016,0.258974358974359
phase3,enhanced,patchcore,lr1e-4_img224_k9_cs01,exp2,0.618836638191625,0.3859982134881644,0.5878429021136261,0.29050420168067226,0.575016633399867
phase3,enhanced,patchcore,lr1e-3_img256_k9_cs005,exp1,0.6299035722112645,0.3146997929606625,0.46955128205128205,0.8172043010752689,0.19487179487179487
phase3,enhanced,patchcore,lr1e-3_img256_k9_cs005,exp2,0.6178049441622431,0.3835975682441292,0.6124269225003748,0.2989039569013561,0.5352628077178976
phase3,enhanced,patchcore,lr1e-4_img224_k5_cs01,exp1,0.6831908831908832,0.43018867924528303,0.5160256410256411,0.8142857142857143,0.2923076923076923
phase3,enhanced,patchcore,lr1e-4_img224_k5_cs01,exp2,0.6243361043006865,0.39888883173002726,0.5620971368610403,0.28874655544797795,0.6448769128409847
